,winner,win_through,loser,match type,title(s),rating,match duration_sec,card_date,card_date_month,champion_status
854,Dominik Mysterio (c),pinfall,Dragon Lee,Single Match,NXT North American Championship,***¾,613,2023-09-25,2023-09-01,still champion
855,Nia Jax,pinfall,Zoey Stark,Single Match,No Title Match,-,170,2023-09-25,2023-09-01,No Title Match
856,Drew McIntyre,pinfall,Kofi Kingston,Single Match,No Title Match,-,748,2023-09-25,2023-09-01,No Title Match
857,Damian Priest (c) & Finn Bálor (c),pinfall,Kevin Owens & Sami Zayn,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,****¼,1211,2023-09-25,2023-09-01,still champion
858,Becky Lynch (c),victory,Tiffany Stratton,Single Match,NXT Women's Title,-,556,2023-09-24,2023-09-01,still champion
859,Gunther (c),victory,Chad Gable,Single Match,WWE Intercontinental Championship,-,1012,2023-09-24,2023-09-01,still champion
860,Cody Rhodes,victory,Dominik Mysterio,Single Match,No Title Match,-,550,2023-09-24,2023-09-01,No Title Match
861,Bronson Reed,victory,Otis,Single Match,No Title Match,-,550,2023-09-24,2023-09-01,No Title Match
862,Iyo Sky (c),victory,"Asuka, Charlotte Flair",Triple Threat,WWE Women's Championship (2016),-,620,2023-09-24,2023-09-01,still champion
863,Seth Rollins (c),victory,The Miz,Single Match,WWE World Heavyweight Championship,-,780,2023-09-24,2023-09-01,still champion
864,Becky Lynch (c),victory,Tiffany Stratton,Single Match,NXT Women's Title,-,556,2023-09-23,2023-09-01,still champion
865,Gunther (c),victory,Chad Gable,Single Match,WWE Intercontinental Championship,-,1012,2023-09-23,2023-09-01,still champion
866,Cody Rhodes,victory,Dominik Mysterio,Single Match,No Title Match,-,550,2023-09-23,2023-09-01,No Title Match
867,Bronson Reed,victory,Otis,Single Match,No Title Match,-,550,2023-09-23,2023-09-01,No Title Match
868,Iyo Sky (c),victory,"Asuka, Charlotte Flair",Triple Threat,WWE Women's Championship (2016),-,620,2023-09-23,2023-09-01,still champion
869,Seth Rollins (c),victory,The Miz,Single Match,WWE World Heavyweight Championship,-,780,2023-09-23,2023-09-01,still champion
870,Cameron Grimes,victory,"Ashante ""Thee"" Adonis",Single Match,No Title Match,-,550,2023-09-22,2023-09-01,No Title Match
871,Rey Mysterio & Santos Escobar,pinfall,Angelo Dawkins & Montez Ford,Tag Team,No Title Match,-,648,2023-09-22,2023-09-01,No Title Match
872,Iyo Sky (c),pinfall,Asuka,Single Match,WWE Women's Championship (2016),****,1170,2023-09-22,2023-09-01,still champion
873,Austin Theory & Grayson Waller,pinfall,Butch & Ridge Holland,Tag Team,No Title Match,-,643,2023-09-22,2023-09-01,No Title Match
874,John Cena,victory,Montez Ford,Single Match,No Title Match,-,550,2023-09-22,2023-09-01,No Title Match
875,Becky Lynch,victory,Zoey Stark,Single Match,NXT Women's Title,-,556,2023-09-22,2023-09-01,still champion
876,Cody Rhodes,pinfall,Dominik Mysterio,Single Match,No Title Match,-,130,2023-09-18,2023-09-01,No Title Match
877,Kofi Kingston,pinfall,Ivar,Single Match,No Title Match,-,784,2023-09-18,2023-09-01,No Title Match
878,Shinsuke Nakamura,DQ,Ricochet,Single Match,No Title Match,-,778,2023-09-18,2023-09-01,No Title Match
879,Chelsea Green & Piper Niven,DQ,Shayna Baszler & Zoey Stark,Tag Team,No Title Match,-,232,2023-09-18,2023-09-01,No Title Match
880,Bronson Reed,pinfall,Chad Gable,Single Match,No Title Match,-,575,2023-09-18,2023-09-01,No Title Match
881,Becky Lynch (c),pinfall,Natalya,Single Match,NXT Women's Title,-,374,2023-09-18,2023-09-01,still champion
882,Tommaso Ciampa,submission,Giovanni Vinci,Single Match,No Title Match,-,208,2023-09-18,2023-09-01,No Title Match
883,Drew McIntyre,pinfall,Jey Uso,Single Match,No Title Match,-,852,2023-09-18,2023-09-01,No Title Match
884,Nikki Cross,pinfall,Indi Hartwell,Single Match,No Title Match,-,329,2023-09-18,2023-09-01,No Title Match
885,Tegan Nox,pinfall,Xia Li,Single Match,No Title Match,-,553,2023-09-18,2023-09-01,No Title Match
886,Jey Uso,victory,Bronson Reed,Single Match,No Title Match,-,550,2023-09-17,2023-09-01,No Title Match
887,Damian Priest (c) & Finn Bálor (c),victory,Cruz Del Toro & Joaquin Wilde,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-09-17,2023-09-01,still champion
888,Becky Lynch (c),victory,Tiffany Stratton,Single Match,No Title Match,-,550,2023-09-17,2023-09-01,No Title Match
889,Chad Gable & Otis & Tommaso Ciampa,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-09-17,2023-09-01,No Title Match
890,Cody Rhodes,victory,Dominik Mysterio,Single Match,No Title Match,-,550,2023-09-17,2023-09-01,No Title Match
891,Rey Mysterio (c),victory,"Austin Theory, L.A. Knight",Triple Threat,WWE United States Championship,-,964,2023-09-17,2023-09-01,still champion
892,Asuka,victory,Charlotte Flair,Single Match,No Title Match,-,550,2023-09-17,2023-09-01,No Title Match
893,Seth Rollins (c),victory,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,-,780,2023-09-17,2023-09-01,still champion
894,Rey Mysterio (c),victory,"Austin Theory, L.A. Knight",Triple Threat,WWE United States Championship,-,964,2023-09-16,2023-09-01,still champion
895,Becky Lynch (c),victory,Tiffany Stratton,Single Match,NXT Women's Title,-,556,2023-09-16,2023-09-01,still champion
896,Chad Gable & Otis & Tommaso Ciampa,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-09-16,2023-09-01,No Title Match
897,Jey Uso,victory,Bronson Reed,Single Match,No Title Match,-,550,2023-09-16,2023-09-01,No Title Match
898,Cody Rhodes,victory,Dominik Mysterio,Single Match,No Title Match,-,550,2023-09-16,2023-09-01,No Title Match
899,Damian Priest (c) & Finn Bálor (c),victory,Cruz Del Toro & Joaquin Wilde,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-09-16,2023-09-01,still champion
900,Asuka,victory,Charlotte Flair,Single Match,No Title Match,-,550,2023-09-16,2023-09-01,No Title Match
901,Seth Rollins (c),victory,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,-,780,2023-09-16,2023-09-01,still champion
902,Michin & Zelina Vega,victory,Alba Fyre & Isla Dawn,Tag Team,No Title Match,-,550,2023-09-15,2023-09-01,No Title Match
903,Finn Bálor,pinfall,AJ Styles,Single Match,No Title Match,-,508,2023-09-15,2023-09-01,No Title Match
904,Angelo Dawkins & Montez Ford,pinfall,Cruz Del Toro & Joaquin Wilde,Tag Team,No Title Match,-,56,2023-09-15,2023-09-01,No Title Match
905,L.A. Knight,pinfall,The Miz,Single Match,No Title Match,-,688,2023-09-15,2023-09-01,No Title Match
906,Asuka,pinfall,Bayley,Single Match,No Title Match,-,536,2023-09-15,2023-09-01,No Title Match
907,A.J. Styles & John Cena,victory,Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,651,2023-09-15,2023-09-01,No Title Match
908,Bronson Reed,victory,Riddick Moss,Single Match,No Title Match,-,550,2023-09-11,2023-09-01,No Title Match
909,Erik & Ivar,victory,Cedric Alexander & Shelton Benjamin,Tag Team,No Title Match,-,550,2023-09-11,2023-09-01,No Title Match
910,Damian Priest & Finn Bálor,pinfall,Jey Uso & Kevin Owens,Tag Team,No Title Match,-,748,2023-09-11,2023-09-01,No Title Match
911,The Miz,pinfall,Akira Tozawa,Single Match,No Title Match,-,182,2023-09-11,2023-09-01,No Title Match
912,Drew McIntyre,pinfall,Xavier Woods,Single Match,No Title Match,-,583,2023-09-11,2023-09-01,No Title Match
913,Shayna Baszler,pinfall,Chelsea Green,Single Match,No Title Match,-,110,2023-09-11,2023-09-01,No Title Match
914,Chad Gable & Otis & Tommaso Ciampa,submission,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,786,2023-09-11,2023-09-01,No Title Match
915,Rhea Ripley (c),pinfall,Raquel Rodriguez,Single Match,WWE Women's World Title,-,943,2023-09-11,2023-09-01,still champion
916,Charlotte Flair,victory,Asuka,Single Match,No Title Match,-,550,2023-09-10,2023-09-01,No Title Match
917,Omos,victory,Johnny Gargano,Single Match,No Title Match,-,550,2023-09-10,2023-09-01,No Title Match
918,Cruz Del Toro & Joaquin Wilde & Zelina Vega,victory,"Ashante ""Thee"" Adonis & B-FAB & Top Dolla",Tag Team,No Title Match,-,550,2023-09-10,2023-09-01,No Title Match
919,L.A. Knight,victory,Austin Theory,Single Match,No Title Match,-,550,2023-09-10,2023-09-01,No Title Match
920,Ricochet,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-09-10,2023-09-01,No Title Match
921,AJ Styles,victory,Solo Sikoa,Single Match,No Title Match,-,550,2023-09-10,2023-09-01,No Title Match
922,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-09-10,2023-09-01,No Title Match
923,L.A. Knight,victory,Austin Theory,Single Match,No Title Match,-,550,2023-09-09,2023-09-01,No Title Match
924,Ricochet,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-09-09,2023-09-01,No Title Match
925,Omos,victory,Johnny Gargano,Single Match,No Title Match,-,550,2023-09-09,2023-09-01,No Title Match
926,Charlotte Flair,victory,Asuka,Single Match,No Title Match,-,550,2023-09-09,2023-09-01,No Title Match
927,Cruz Del Toro & Joaquin Wilde & Zelina Vega,victory,"Ashante ""Thee"" Adonis & B-FAB & Top Dolla",Tag Team,No Title Match,-,550,2023-09-09,2023-09-01,No Title Match
928,AJ Styles,victory,Solo Sikoa,Single Match,No Title Match,-,550,2023-09-09,2023-09-01,No Title Match
929,Cody Rhodes,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-09-09,2023-09-01,No Title Match
930,Michin & Zelina Vega,victory,Alba Fyre & Isla Dawn,Tag Team,No Title Match,-,550,2023-09-08,2023-09-01,No Title Match
931,Charlotte Flair & Shotzi,pinfall,Bayley & Iyo Sky,Tag Team,No Title Match,-,541,2023-09-08,2023-09-01,No Title Match
932,L.A. Knight,pinfall,Austin Theory,Single Match,No Title Match,-,565,2023-09-08,2023-09-01,No Title Match
933,Damian Priest & Finn Bálor,pinfall,Butch & Ridge Holland,Tag Team,No Title Match,-,808,2023-09-08,2023-09-01,No Title Match
934,AJ Styles,pinfall,Jimmy Uso,Single Match,No Title Match,-,954,2023-09-08,2023-09-01,No Title Match
935,Rey Mysterio & Santos Escobar,victory,Angelo Dawkins & Montez Ford,Tag Team,No Title Match,-,550,2023-09-08,2023-09-01,No Title Match
936,Cody Rhodes,victory,Dominik Mysterio,Single Match,No Title Match,-,550,2023-09-08,2023-09-01,No Title Match
937,Drew McIntyre & Kevin Owens & Sami Zayn,pinfall,Jinder Mahal & Sanga & Veer,Tag Team,No Title Match,-,468,2023-09-08,2023-09-01,No Title Match
938,Natalya,pinfall,Zoey Stark,Single Match,No Title Match,-,490,2023-09-08,2023-09-01,No Title Match
939,Gunther (c),pinfall,Shanky,Single Match,WWE Intercontinental Championship,-,300,2023-09-08,2023-09-01,still champion
940,Bron Breakker,pinfall,Odyssey Jones,Single Match,No Title Match,-,248,2023-09-08,2023-09-01,No Title Match
941,Rhea Ripley (c),pinfall,Natalya,Single Match,WWE Women's World Title,-,389,2023-09-08,2023-09-01,still champion
942,John Cena & Seth Rollins,pinfall,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,1140,2023-09-08,2023-09-01,No Title Match
943,Erik & Ivar,pinfall,Drew McIntyre & Matt Riddle,Tag Team,No Title Match,-,580,2023-09-04,2023-09-01,No Title Match
944,Ricochet,DQ,Shinsuke Nakamura,Single Match,No Title Match,-,572,2023-09-04,2023-09-01,No Title Match
945,Shayna Baszler,submission,Zoey Stark,Single Match,No Title Match,-,532,2023-09-04,2023-09-01,No Title Match
946,Raquel Rodriguez,pinfall,Chelsea Green,Single Match,No Title Match,-,100,2023-09-04,2023-09-01,No Title Match
947,JD McDonagh,pinfall,Sami Zayn,Single Match,No Title Match,-,480,2023-09-04,2023-09-01,No Title Match
948,Gunther (c),pinfall,Chad Gable,Single Match,WWE Intercontinental Championship,****½,963,2023-09-04,2023-09-01,still champion
949,Cody Rhodes,pinfall,Dominik Mysterio,Single Match,No Title Match,-,72,2023-09-04,2023-09-01,No Title Match
950,Bronson Reed,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-09-04,2023-09-01,No Title Match
951,Tommaso Ciampa,victory,Riddick Moss,Single Match,No Title Match,-,550,2023-09-04,2023-09-01,No Title Match
952,Becky Lynch,pinfall,Trish Stratus,Single Match,No Title Match,****,1201,2023-09-02,2023-09-01,No Title Match
953,L.A. Knight,pinfall,The Miz,Single Match,No Title Match,**¼,945,2023-09-02,2023-09-01,No Title Match
954,Rey Mysterio (c),pinfall,Austin Theory,Single Match,WWE United States Championship,***¼,580,2023-09-02,2023-09-01,still champion
955,Damian Priest & Finn Bálor,pinfall,Kevin Owens (c) & Sami Zayn (c),Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship (title change),****¼,1243,2023-09-02,2023-09-01,new champion
956,Rhea Ripley (c),pinfall,Raquel Rodriguez,Single Match,WWE Women's World Title,*¾,1041,2023-09-02,2023-09-01,still champion
957,Seth Rollins (c),pinfall,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,***½,1558,2023-09-02,2023-09-01,still champion
958,Butch,victory,Kit Wilson,Single Match,No Title Match,-,550,2023-09-01,2023-09-01,No Title Match
959,Austin Theory & Grayson Waller,pinfall,Rey Mysterio & Santos Escobar,Tag Team,No Title Match,-,485,2023-09-01,2023-09-01,No Title Match
960,Kevin Owens & Sami Zayn,pinfall,Cruz Del Toro & Joaquin Wilde,Tag Team,No Title Match,-,148,2023-09-01,2023-09-01,No Title Match
961,Shotzi,pinfall,Bayley,Single Match,No Title Match,-,549,2023-09-01,2023-09-01,No Title Match
962,Solo Sikoa,pinfall,AJ Styles,Single Match,No Title Match,-,724,2023-09-01,2023-09-01,No Title Match
963,Drew McIntyre,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-09-01,2023-09-01,No Title Match
964,Katana Chance,pinfall,Chelsea Green,Single Match,No Title Match,-,304,2023-08-28,2023-08-01,No Title Match
965,JD McDonagh,pinfall,Akira Tozawa,Single Match,No Title Match,-,544,2023-08-28,2023-08-01,No Title Match
966,Damian Priest,pinfall,Sami Zayn,Single Match,No Title Match,-,690,2023-08-28,2023-08-01,No Title Match
967,Erik & Ivar,pinfall,Kofi Kingston & Xavier Woods,Tag Team,No Title Match,-,1028,2023-08-28,2023-08-01,No Title Match
968,Chad Gable,DQ,Ludwig Kaiser,Single Match,No Title Match,-,1088,2023-08-28,2023-08-01,No Title Match
969,Tommaso Ciampa,pinfall,Bronson Reed,Single Match,No Title Match,-,278,2023-08-28,2023-08-01,No Title Match
970,Becky Lynch,pinfall,Zoey Stark,Single Match,No Title Match,-,971,2023-08-28,2023-08-01,No Title Match
971,Kevin Owens (c) & Sami Zayn (c),victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-08-27,2023-08-01,still champion
972,Zoey Stark,victory,Michin,Single Match,No Title Match,-,550,2023-08-27,2023-08-01,No Title Match
973,Rey Mysterio (c),DQ,Austin Theory,Single Match,WWE United States Championship,-,964,2023-08-27,2023-08-01,still champion
974,Rey Mysterio & Santos Escobar,victory,Austin Theory & Grayson Waller,Tag Team,No Title Match,-,550,2023-08-27,2023-08-01,No Title Match
975,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-08-27,2023-08-01,No Title Match
976,L.A. Knight,victory,Mustafa Ali,Single Match,No Title Match,-,550,2023-08-27,2023-08-01,No Title Match
977,Rhea Ripley (c),victory,Natalya,Single Match,WWE Women's World Title,-,865,2023-08-27,2023-08-01,still champion
978,Seth Rollins (c),victory,Finn Bálor,Single Match,WWE World Heavyweight Championship,-,780,2023-08-27,2023-08-01,still champion
979,Kevin Owens (c) & Sami Zayn (c),victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2023-08-26,2023-08-01,still champion
980,Zoey Stark,victory,Michin,Single Match,No Title Match,-,550,2023-08-26,2023-08-01,No Title Match
981,L.A. Knight,victory,Mustafa Ali,Single Match,No Title Match,-,550,2023-08-26,2023-08-01,No Title Match
982,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-08-26,2023-08-01,No Title Match
983,Rhea Ripley (c),victory,Natalya,Single Match,WWE Women's World Title,-,865,2023-08-26,2023-08-01,still champion
984,Rey Mysterio (c),DQ,Austin Theory,Single Match,WWE United States Championship,-,964,2023-08-26,2023-08-01,still champion
985,Rey Mysterio & Santos Escobar,victory,Austin Theory & Grayson Waller,Tag Team,No Title Match,-,550,2023-08-26,2023-08-01,No Title Match
986,Seth Rollins (c),victory,Finn Bálor,Single Match,WWE World Heavyweight Championship,-,780,2023-08-26,2023-08-01,still champion
987,Cameron Grimes,victory,Odyssey Jones,Single Match,No Title Match,-,550,2023-08-25,2023-08-01,No Title Match
988,Rey Mysterio,pinfall,Grayson Waller,Single Match,No Title Match,-,724,2023-08-25,2023-08-01,No Title Match
989,Iyo Sky (c),pinfall,Zelina Vega,Single Match,WWE Women's Championship (2016),-,370,2023-08-25,2023-08-01,still champion
990,Angelo Dawkins & Montez Ford,pinfall,Butch & Ridge Holland,Tag Team,No Title Match,-,744,2023-08-25,2023-08-01,No Title Match
991,L.A. Knight,pinfall,Finn Bálor,Single Match,No Title Match,-,645,2023-08-25,2023-08-01,No Title Match
992,Cody Rhodes,victory,Austin Theory,Single Match,No Title Match,-,550,2023-08-25,2023-08-01,No Title Match
993,Ricochet,victory,Riddick Moss,Single Match,No Title Match,-,550,2023-08-21,2023-08-01,No Title Match
994,Natalya,victory,Nikki Cross,Single Match,No Title Match,-,550,2023-08-21,2023-08-01,No Title Match
995,Kofi Kingston & Xavier Woods,pinfall,Drew McIntyre & Matt Riddle,Tag Team,No Title Match,-,567,2023-08-21,2023-08-01,No Title Match
996,Chad Gable,def. (CO),Gunther (c),Single Match,WWE Intercontinental Championship,****,783,2023-08-21,2023-08-01,still champion
997,Rhea Ripley,submission,Candice LeRae,Single Match,No Title Match,-,75,2023-08-21,2023-08-01,No Title Match
998,Akira Tozawa,pinfall,The Miz,Single Match,No Title Match,-,431,2023-08-21,2023-08-01,No Title Match
999,Chelsea Green & Piper Niven,pinfall,Katana Chance & Kayden Carter,Tag Team,No Title Match,-,84,2023-08-21,2023-08-01,No Title Match
1000,Damian Priest & Finn Bálor,DQ,Kevin Owens & Sami Zayn,Tag Team,No Title Match,-,155,2023-08-21,2023-08-01,No Title Match
1001,Cody Rhodes & Kevin Owens & Sami Zayn,pinfall,Damian Priest & Dominik Mysterio & Finn Bálor,Tag Team,No Title Match,-,864,2023-08-21,2023-08-01,No Title Match
1002,Drew McIntyre & Kevin Owens & Sami Zayn,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-08-20,2023-08-01,No Title Match
1003,Becky Lynch,victory,Trish Stratus & Zoey Stark,6 Tag Team,No Title Match,-,550,2023-08-20,2023-08-01,No Title Match
1004,Rhea Ripley (c),victory,Natalya,Single Match,WWE Women's World Title,-,865,2023-08-20,2023-08-01,still champion
1005,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-08-20,2023-08-01,No Title Match
1006,A.J. Styles & Karl Anderson & Luke Gallows,victory,Austin Theory & Cedric Alexander & Shelton Benjamin,Tag Team,No Title Match,-,550,2023-08-20,2023-08-01,No Title Match
1007,Iyo Sky (c),victory,"Asuka, Charlotte Flair",Triple Threat,WWE Women's Championship (2016),-,620,2023-08-20,2023-08-01,still champion
1008,Seth Rollins (c),victory,Finn Bálor,Single Match,WWE World Heavyweight Championship,-,780,2023-08-20,2023-08-01,still champion
1009,Drew McIntyre & Kevin Owens & Sami Zayn,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-08-19,2023-08-01,No Title Match
1010,Rhea Ripley (c),victory,Natalya,Single Match,WWE Women's World Title,-,865,2023-08-19,2023-08-01,still champion
1011,Iyo Sky (c),victory,"Asuka, Charlotte Flair",Triple Threat,WWE Women's Championship (2016),-,620,2023-08-19,2023-08-01,still champion
1012,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-08-19,2023-08-01,No Title Match
1013,A.J. Styles & Karl Anderson & Luke Gallows,victory,Austin Theory & Cedric Alexander & Shelton Benjamin,Tag Team,No Title Match,-,550,2023-08-19,2023-08-01,No Title Match
1014,Becky Lynch,victory,Trish Stratus & Zoey Stark,6 Tag Team,No Title Match,-,550,2023-08-19,2023-08-01,No Title Match
1015,Seth Rollins (c),victory,Finn Bálor,Single Match,WWE World Heavyweight Championship,-,780,2023-08-19,2023-08-01,still champion
1016,Austin Theory,pinfall,L.A. Knight,Single Match,No Title Match,-,610,2023-08-18,2023-08-01,No Title Match
1017,Bianca BelAir & Charlotte Flair,pinfall,Bayley & Iyo Sky,Tag Team,No Title Match,-,830,2023-08-18,2023-08-01,No Title Match
1018,Angelo Dawkins & Montez Ford,pinfall,Karl Anderson & Luke Gallows,Tag Team,No Title Match,-,190,2023-08-18,2023-08-01,No Title Match
1019,Edge,pinfall,Sheamus,Single Match,No Title Match,****¼,1144,2023-08-18,2023-08-01,No Title Match
1020,Natalya,victory,Tegan Nox,Single Match,No Title Match,-,550,2023-08-14,2023-08-01,No Title Match
1021,Ricochet,victory,Tommaso Ciampa,Single Match,No Title Match,-,550,2023-08-14,2023-08-01,No Title Match
1022,Sami Zayn,pinfall,JD McDonagh,Single Match,No Title Match,-,703,2023-08-14,2023-08-01,No Title Match
1023,Chad Gable,pinfall,Giovanni Vinci,Single Match,No Title Match,-,304,2023-08-14,2023-08-01,No Title Match
1024,Gunther,pinfall,Otis,Single Match,No Title Match,-,308,2023-08-14,2023-08-01,No Title Match
1025,Drew McIntyre & Matt Riddle,pinfall,Erik & Ivar,Tag Team,No Title Match,-,567,2023-08-14,2023-08-01,No Title Match
1026,Rhea Ripley,pinfall,Indi Hartwell,Single Match,No Title Match,-,177,2023-08-14,2023-08-01,No Title Match
1027,Becky Lynch,draw (DCO),Trish Stratus,Single Match,No Title Match,-,690,2023-08-14,2023-08-01,No Title Match
1028,Cody Rhodes,pinfall,Finn Bálor,Single Match,No Title Match,-,837,2023-08-14,2023-08-01,No Title Match
1029,Grayson Waller,victory,Cameron Grimes,Single Match,No Title Match,-,550,2023-08-11,2023-08-01,No Title Match
1030,Asuka,draw (NC),Charlotte Flair,Single Match,No Title Match,-,535,2023-08-11,2023-08-01,No Title Match
1031,AJ Styles,pinfall,Karrion Kross,Single Match,No Title Match,-,578,2023-08-11,2023-08-01,No Title Match
1032,L.A. Knight,pinfall,Top Dolla,Single Match,No Title Match,-,120,2023-08-11,2023-08-01,No Title Match
1033,Rey Mysterio,pinfall,Austin Theory (c),Single Match,WWE United States Championship (title change),-,270,2023-08-11,2023-08-01,new champion
1034,Angelo Dawkins & Montez Ford,victory,Butch & Ridge Holland,Tag Team,No Title Match,-,550,2023-08-11,2023-08-01,No Title Match
1035,Rhea Ripley (c),victory,Natalya,Single Match,WWE Women's World Title,-,865,2023-08-11,2023-08-01,still champion
1036,Chad Gable,pinfall,"Matt Riddle, Ricochet, Tommaso Ciampa",Fatal Fourway,No Title Match,-,606,2023-08-07,2023-08-01,No Title Match
1037,Shinsuke Nakamura,pinfall,Bronson Reed,Single Match,No Title Match,-,711,2023-08-07,2023-08-01,No Title Match
1038,Shayna Baszler,pinfall,Zoey Stark,Single Match,No Title Match,-,762,2023-08-07,2023-08-01,No Title Match
1039,Ludwig Kaiser,pinfall,Otis,Single Match,No Title Match,-,177,2023-08-07,2023-08-01,No Title Match
1040,Kofi Kingston & Xavier Woods,pinfall,Erik & Ivar,Tag Team,No Title Match,-,337,2023-08-07,2023-08-01,No Title Match
1041,Cody Rhodes & Seth Rollins & Shinsuke Nakamura,pinfall,Damian Priest & Dominik Mysterio & Finn Bálor,Tag Team,No Title Match,-,862,2023-08-07,2023-08-01,No Title Match
1042,Sanga & Veer,pinfall,Akira Tozawa & Apollo Crews,Tag Team,No Title Match,-,237,2023-08-07,2023-08-01,No Title Match
1043,Nikki Cross,pinfall,Tegan Nox,Single Match,No Title Match,-,550,2023-08-07,2023-08-01,No Title Match
1044,Logan Paul,pinfall,Ricochet,Single Match,No Title Match,****¼,1082,2023-08-05,2023-08-01,No Title Match
1045,Cody Rhodes,pinfall,Brock Lesnar,Single Match,No Title Match,****½,1053,2023-08-05,2023-08-01,No Title Match
1046,L.A. Knight,victory,"A.J. Styles, Apollo Crews, Austin Theory, Bronson Reed, Butch, Cameron Grimes, Chad Gable, Erik, Giovanni Vinci, Grayson Waller, Ivar, JD McDonagh, Karrion Kross, Ludwig Kaiser, Matt Riddle, Omos, Otis, Rick Boogs, Ridge Holland, Santos Escobar, Sheamus, Shinsuke Nakamura, The Miz, Tommaso Ciampa",Battle Royal/Andre The Giant Memorial,No Title Match,**¾,717,2023-08-05,2023-08-01,No Title Match
1047,Shayna Baszler,submission,Ronda Rousey,Single Match,No Title Match,*½,447,2023-08-05,2023-08-01,No Title Match
1048,Gunther (c),pinfall,Drew McIntyre,Single Match,WWE Intercontinental Championship,****,822,2023-08-05,2023-08-01,still champion
1049,Seth Rollins (c),pinfall,Finn Bálor,Single Match,WWE World Heavyweight Championship,****½,1107,2023-08-05,2023-08-01,still champion
1050,Bianca BelAir,pinfall,"Asuka (c), Charlotte Flair",Triple Threat,WWE Women's Championship (2016) (title change),***½,1247,2023-08-05,2023-08-01,new champion
1051,Iyo Sky,pinfall,Bianca BelAir (c),Single Match,WWE Women's Championship (2016) (title change),-,9,2023-08-05,2023-08-01,new champion
1052,Roman Reigns (c),pinfall,Jey Uso,Single Match,WWE Undisputed Universal Title,**¾,2163,2023-08-05,2023-08-01,still champion
1053,Odyssey Jones,victory,Raul Mendoza,Single Match,No Title Match,-,550,2023-08-04,2023-08-01,No Title Match
1054,L.A. Knight,pinfall,Sheamus,Single Match,No Title Match,-,765,2023-08-04,2023-08-01,No Title Match
1055,Butch & Ridge Holland,draw (NC),Karl Anderson & Luke Gallows,Tag Team,No Title Match,-,495,2023-08-04,2023-08-01,No Title Match
1056,Austin Theory,pinfall,Cameron Grimes,Single Match,No Title Match,-,182,2023-08-04,2023-08-01,No Title Match
1057,Zelina Vega,pinfall,Iyo Sky,Single Match,No Title Match,-,178,2023-08-04,2023-08-01,No Title Match
1058,Jey Uso,pinfall,Solo Sikoa,Single Match,No Title Match,-,641,2023-08-04,2023-08-01,No Title Match
1059,Dana Brooke,victory,Xia Li,Single Match,No Title Match,-,550,2023-07-31,2023-07-01,No Title Match
1060,Bronson Reed,victory,Apollo Crews,Single Match,No Title Match,-,550,2023-07-31,2023-07-01,No Title Match
1061,Ludwig Kaiser,pinfall,Matt Riddle,Single Match,No Title Match,-,662,2023-07-31,2023-07-01,No Title Match
1062,Maxxine Dupri,pinfall,Valhalla,Single Match,No Title Match,-,206,2023-07-31,2023-07-01,No Title Match
1063,Shinsuke Nakamura,pinfall,Tommaso Ciampa,Single Match,No Title Match,-,527,2023-07-31,2023-07-01,No Title Match
1064,Gunther,pinfall,Chad Gable,Single Match,No Title Match,-,778,2023-07-31,2023-07-01,No Title Match
1065,Becky Lynch,DQ,Trish Stratus,Single Match,No Title Match,-,4,2023-07-31,2023-07-01,No Title Match
